Model,Parameters,Train Accuracy,Validation Accuracy,Training Time (s),Overfitting (Train - Val),Notes
Baseline CNN,"{'optimizer': 'adam', 'loss': 'sparse_categorical_crossentropy', 'epochs': 10}",0.9267070889472961,0.6069079041481018,113.15373373031616,0.31979918479919434,Initial baseline CNN trained on RGB images
CNN + Dropout (0.2),"{'epochs': 10, 'dropout': 0.2}",0.9256583452224731,0.6422697305679321,123.17064356803894,0.283388614654541,Dropout added
Baseline CNN (64x64),"{'optimizer': 'adam', 'loss': 'sparse_categorical_crossentropy', 'epochs': 10}",0.9029363989830017,0.6537829041481018,101.46283006668091,0.2491534948348999,Baseline CNN retrained on 64x64 images
CNN + Augmentation (WORST),"{'epochs': 10, 'augmentation': True}",0.1500815600156784,0.16118420660495758,135.96781396865845,-0.011102646589279175,Very worst augmentation on 128x128 images
CNN + Augmentation (BEST),"{'epochs': 15, 'augmentation': True}",0.7803542017936707,0.6620065569877625,157.7645184993744,0.1183476448059082,"Best model: 64x64, flip + 0.05 rotation"
CNN + Deeper Architecture (Extra Conv Layer),"{'epochs': 15, 'extra_conv': True}",0.8038918375968933,0.6735197305679321,148.02188897132874,0.13037210702896118,Extra Conv layer added
CNN + Smaller Extra Conv Layer,"{'epochs': 15, 'extra_conv': True, 'extra_filters': 128}",0.7664880156517029,0.6595394611358643,146.93968272209167,0.10694855451583862,Smaller extra Conv layer added
CNN - Grayscale (64x64 + Augmentation),"{'epochs': 15, 'grayscale': True}",0.718946635723114,0.6011512875556946,125.24165344238281,0.11779534816741943,Grayscale comparison
MobileNetV2 (Fine-tuned),"{'input_size': '224x224', 'unfrozen_layers': 'top 30', 'learning_rate': 1e-05, 'epochs': 10}",0.9680727124214172,0.9128289222717285,209.3737177848816,0.05524379014968872,Fine-tuned transfer learning (initial attempt)
MobileNetV2 (Frozen) RERUN!,"{'input_size': '224x224', 'trainable': False, 'epochs': 10}",0.9803076386451721,0.9095394611358643,185.14342617988586,0.07076817750930786,Transfer learning (frozen base) - RERUN
MobileNetV2 (Fine-tuned) RERUN!,"{'input_size': '224x224', 'unfrozen_layers': 'top 30', 'learning_rate': 1e-05, 'epochs': 3}",0.9481472969055176,0.9054276347160339,83.75767111778259,0.04271966218948364,Fine-tuned top 30 layers - RERUN
